OrderID,Product,Category,Price,Quantity,Total,Date,Region
67,Phone,Electronics,10000,,0,7/5/2023,North
68,Charger,Electronics,10000,5,50000,3/4/2023,East
69,Charger,Electronics,20000,4,80000,7/9/2023,West
70,Monitor,Electronics,,3,0,5/5/2023,North
71,Charger,Accessories,25000,1,25000,5/30/2023,South
72,Monitor,Electronics,5000,1,5000,11/10/2023,South
73,Charger,Electronics,5000,4,20000,2/27/2023,North
74,Keyboard,Electronics,15000,3,45000,12/8/2023,East
75,Monitor,Accessories,,3,0,11/1/2023,South
76,Headphones,Electronics,10000,,0,6/29/2023,South
77,Mouse,Electronics,25000,,0,6/19/2023,South
78,Laptop,Accessories,20000,,0,11/22/2023,North
79,Charger,Electronics,10000,,0,9/28/2023,West
80,Phone,Electronics,,,0,2/23/2023,South
81,Charger,Electronics,20000,,0,4/11/2023,West
82,Phone,Electronics,15000,5,75000,9/21/2023,East
83,Mouse,Electronics,15000,3,45000,2/22/2023,South
84,Mouse,Accessories,5000,,0,3/1/2023,South
85,Mouse,Accessories,,3,0,4/18/2023,East
86,Phone,Accessories,25000,3,75000,1/5/2023,South
87,Charger,Electronics,20000,2,40000,4/13/2023,West
88,Mouse,Electronics,10000,5,50000,7/15/2023,North
89,Keyboard,Electronics,,,0,9/19/2023,West
90,Monitor,Accessories,,1,0,12/31/2023,North
91,Phone,Electronics,15000,4,60000,12/16/2023,North
92,Phone,Electronics,5000,1,5000,2/16/2023,West
93,Charger,Accessories,5000,5,25000,12/21/2023,West
94,Phone,Electronics,20000,4,80000,11/7/2023,West
95,Phone,Accessories,15000,5,75000,11/4/2023,West
96,Mouse,Accessories,,3,0,5/24/2023,East
97,Charger,Accessories,25000,4,100000,9/26/2023,South
98,Mouse,Electronics,15000,3,45000,5/4/2023,North
99,Monitor,Electronics,20000,1,20000,4/16/2023,West
100,Monitor,Electronics,20000,1,20000,6/7/2023,West
